MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,HasPool,HasFire,HasAC,HasFence,HasGarage,AmenitiesCount,Garage Yr Blt_was_missing,Garage Area_was_missing,Garage Cars_was_missing,BsmtFin SF 1_was_missing,BsmtFin SF 2_was_missing,Bsmt Unf SF_was_missing,Total Bsmt SF_was_missing,Bsmt Full Bath_was_missing,Bsmt Half Bath_was_missing,Pool Area_was_missing,Mas Vnr Area_was_missing
85,RL,74.0,12150,NoAlley,2.0,Bnk,CulDSac,2.0,Mitchel,Norm,1Fam,SFoyer,6,6,1979,1979,Gable,HdBoard,Wd Shng,None,0.0,2.0,2.0,CBlock,4.0,3.0,3.0,6.0,1001.0,1.0,0.0,0.0,1001.0,2.0,Y,4.0,1299,0,0,1299,1.0,0.0,2,0,2,1,3.0,5,Typ,1,1.0,BuiltIn,1979.0,2.0,2.0,486.0,3.0,2.0,84,0,222,0,0,0,MnPrv,0,1,2007,WD,Normal,183500,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
20,RL,80.0,12984,NoAlley,3.0,Bnk,Inside,2.0,Crawfor,Norm,1Fam,1Story,5,6,1977,1977,Gable,Plywood,Plywood,BrkFace,459.0,2.0,2.0,CBlock,4.0,3.0,2.0,5.0,1283.0,2.0,147.0,0.0,1430.0,4.0,Y,4.0,1647,0,0,1647,1.0,0.0,2,0,3,1,3.0,7,Typ,1,3.0,Attchd,1977.0,3.0,2.0,621.0,3.0,2.0,0,0,0,0,0,0,NoFence,0,3,2006,WD,Normal,217500,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,71.0,9353,NoAlley,3.0,Lvl,Inside,2.0,NAmes,Norm,1Fam,1Story,4,5,1970,1970,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,864.0,864.0,3.0,Y,4.0,864,0,0,864,0.0,0.0,1,0,3,1,2.0,5,Typ,0,0.0,Attchd,1972.0,1.0,1.0,280.0,3.0,2.0,0,0,0,0,0,0,NoFence,0,7,2006,Oth,Abnorml,116050,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
50,RL,89.0,11792,NoAlley,3.0,Lvl,Inside,2.0,Edwards,Norm,1Fam,1.5Fin,4,5,1948,1950,Gable,VinylSd,VinylSd,None,0.0,2.0,2.0,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,744.0,744.0,4.0,N,1.0,792,328,0,1120,0.0,0.0,1,0,2,1,1.0,5,Typ,0,0.0,Detchd,1956.0,1.0,2.0,480.0,3.0,1.0,0,0,0,0,160,0,NoFence,0,6,2010,WD,Abnorml,64000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,RL,73.0,10921,NoAlley,3.0,HLS,Inside,2.0,Edwards,Norm,1Fam,1Story,4,5,1965,1965,Hip,HdBoard,HdBoard,BrkFace,48.0,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,520.0,1.0,0.0,440.0,960.0,2.0,Y,1.0,960,0,0,960,1.0,0.0,1,0,3,1,2.0,6,Typ,0,0.0,Attchd,1965.0,3.0,1.0,432.0,3.0,1.0,120,0,0,0,0,0,NoFence,0,5,2007,WD,Normal,94750,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
60,RL,76.0,9591,NoAlley,3.0,Lvl,Inside,2.0,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,344.0,3.0,2.0,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1143.0,1143.0,4.0,Y,4.0,1143,1330,0,2473,0.0,0.0,2,1,4,1,3.0,9,Typ,1,4.0,BuiltIn,2004.0,2.0,3.0,852.0,3.0,2.0,192,151,0,0,0,0,NoFence,0,10,2007,WD,Normal,317000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,73.0,11382,NoAlley,2.0,Lvl,Inside,2.0,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,Wd Sdng,Plywood,BrkFace,212.0,2.0,2.0,CBlock,3.0,3.0,1.0,5.0,54.0,3.0,543.0,533.0,1130.0,2.0,Y,4.0,1374,0,0,1374,0.0,1.0,1,0,3,1,2.0,7,Typ,1,3.0,Attchd,1964.0,2.0,1.0,286.0,3.0,2.0,0,28,84,0,0,0,MnPrv,0,8,2007,WD,Normal,147000,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
20,RL,74.0,7758,NoAlley,2.0,Lvl,Corner,2.0,Sawyer,Norm,1Fam,1Story,5,7,1962,2001,Gable,HdBoard,Plywood,None,0.0,2.0,3.0,CBlock,3.0,3.0,1.0,5.0,588.0,1.0,0.0,411.0,999.0,3.0,Y,4.0,999,0,0,999,1.0,0.0,1,0,3,1,3.0,6,Typ,0,0.0,Detchd,1963.0,1.0,1.0,264.0,3.0,2.0,0,132,0,0,0,0,NoFence,0,3,2007,WD,Normal,132500,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
20,RM,90.0,7407,NoAlley,3.0,Lvl,Inside,2.0,OldTown,Artery,1Fam,1Story,6,7,1957,1996,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,CBlock,3.0,3.0,1.0,6.0,600.0,1.0,0.0,312.0,912.0,2.0,Y,3.0,1236,0,0,1236,1.0,0.0,1,0,2,1,2.0,6,Typ,0,0.0,Attchd,1957.0,1.0,2.0,923.0,3.0,2.0,0,158,158,0,0,0,MnPrv,0,4,2010,WD,Normal,149700,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,74.0,8544,NoAlley,2.0,Lvl,CulDSac,2.0,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0.0,2.0,2.0,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1228.0,1228.0,3.0,Y,4.0,1228,0,0,1228,0.0,0.0,1,1,3,1,3.0,6,Typ,0,0.0,Attchd,1966.0,1.0,1.0,271.0,3.0,2.0,0,65,0,0,0,0,MnPrv,0,6,2008,WD,Normal,149350,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
